"Earnings after 6 years","Earnings after 8 years","Earnings after 10 years","State","Type","Retention"
0.4,0.442,0.49,"ME","FullTime",0.5391
0.582,0.609,0.579,"ME","FullTime",0.6061
0.388,0.45,0.493,"ME","FullTime",0.6344
0.631,0.703,0.751,"ME","FullTime",0.7509
0.445,0.474,0.583,"ME","FullTime",0.5714
0.677,0.785,0.773,"ME","FullTime",0.7754
0.337,0.339,0.495,"ME","FullTime",0.7167
0.727,0.743,0.771,"ME","FullTime",0.8158
0.603,0.668,0.698,"ME","FullTime",0.6832
0.565,0.643,0.741,"ME","FullTime",0.6269
0.704,0.833,0.846,"MD","FullTime",0.6812
0.577,0.686,0.735,"MD","FullTime",0.7203
0.706,0.777,0.794,"MD","FullTime",0.7234
0.625,0.673,0.662,"MD","FullTime",0.7792
0.511,0.646,0.691,"MD","FullTime",0.6632
0.585,0.709,0.757,"MD","FullTime",0.7382
0.707,0.72,0.752,"MD","FullTime",0.3802
0.696,0.781,0.819,"MD","FullTime",0.8833
0.774,0.827,0.869,"MD","FullTime",0.9552
0.453,0.594,0.661,"MD","FullTime",0.6447
0.498,0.602,0.693,"MD","FullTime",0.7516
0.703,0.777,0.822,"MD","FullTime",0.8298
0.732,0.79,0.828,"MD","FullTime",0.849
0.679,0.722,0.764,"MA","FullTime",0.6031
0.814,0.833,0.881,"MA","FullTime",0.825
0.52,0.587,0.582,"MA","FullTime",0.4776
0.646,0.674,0.745,"MA","FullTime",0.731
0.372,0.495,0.53,"MA","FullTime",0.8382
0.863,0.9,0.897,"MA","FullTime",0.9503
0.805,0.844,0.873,"MA","FullTime",0.9313
0.68,0.731,0.777,"MA","FullTime",0.7596
0.643,0.636,0.653,"MA","FullTime",0.8333
0.684,0.746,0.798,"MA","FullTime",0.8564
0.715,0.743,0.756,"MA","FullTime",0.679
0.474,0.588,0.601,"MA","FullTime",0.6226
0.797,0.849,0.821,"MA","FullTime",0.8429
0.528,0.603,0.62,"MA","FullTime",0.5982
0.66,0.744,0.77,"MA","FullTime",0.7787
0.685,0.766,0.779,"MA","FullTime",0.7588
0.638,0.708,0.734,"MA","FullTime",0.8258
0.688,0.728,0.751,"MA","FullTime",0.73
0.587,0.647,0.661,"MA","FullTime",0.8024
0.738,0.791,0.812,"MA","FullTime",0.8627
0.736,0.789,0.817,"MA","FullTime",0.9063
0.698,0.743,0.765,"MA","FullTime",0.7753
0.888,0.926,0.926,"MA","FullTime",0.8262
0.817,0.853,0.893,"MA","FullTime",0.8056
0.379,0.447,0.468,"MA","FullTime",0.8132
0.624,0.685,0.714,"MA","FullTime",0.6734
0.475,0.553,0.571,"MA","FullTime",0.925
0.596,0.673,0.697,"MA","FullTime",0.5741
0.503,0.61,0.642,"MA","FullTime",0.7262
0.739,0.77,0.769,"MA","FullTime",0.8405
0.662,0.731,0.73,"MA","FullTime",0.7717
0.847,0.895,0.905,"MA","FullTime",0.8566
0.751,0.77,0.807,"MA","FullTime",0.7698
0.854,0.87,0.874,"MA","FullTime",0.8375
0.789,0.82,0.85,"MA","FullTime",0.7825
0.69,0.748,0.797,"MA","FullTime",0.7855
0.708,0.774,0.767,"MA","FullTime",0.8003
0.41,0.474,0.559,"MI","FullTime",0.6494
0.596,0.646,0.731,"MI","FullTime",0.8818
0.577,0.628,0.687,"MI","FullTime",0.7432
0.412,0.456,0.485,"MI","FullTime",0.4456
0.674,0.751,0.757,"MI","FullTime",0.8673
0.636,0.716,0.749,"MI","FullTime",0.7687
0.734,0.78,0.787,"MI","FullTime",0.6731
0.574,0.67,0.681,"MI","FullTime",0.7969
0.561,0.535,0.548,"MI","FullTime",0.7081
0.759,0.754,0.742,"MI","FullTime",0.8656
0.579,0.654,0.706,"MI","FullTime",0.7173
0.655,0.734,0.751,"MI","FullTime",0.789
0.892,0.937,0.922,"MI","FullTime",0.9311
0.436,0.57,0.507,"MI","FullTime",0.6143
0.664,0.73,0.753,"MI","FullTime",0.8301
0.278,0.444,0.54,"MI","FullTime",0.56
0.684,0.759,0.782,"MI","FullTime",0.8809
0.541,0.612,0.656,"MI","FullTime",0.671
0.76,0.797,0.812,"MI","FullTime",0.8224
0.695,0.692,0.715,"MI","FullTime",0.7308
0.399,0.483,0.505,"MI","FullTime",0.3051
0.564,0.591,0.648,"MI","FullTime",0.6484
0.767,0.828,0.852,"MI","FullTime",0.9712
0.741,0.793,0.823,"MI","FullTime",0.9102
0.792,0.823,0.858,"MI","FullTime",0.8324
0.654,0.693,0.764,"MI","FullTime",0.8098
0.567,0.643,0.686,"MI","FullTime",0.7736
0.511,0.592,0.635,"MI","FullTime",0.7766
0.413,0.474,0.548,"MI","FullTime",0.7647
0.717,0.762,0.789,"MI","FullTime",0.7329
0.641,0.708,0.73,"MI","FullTime",0.7661
0.53,0.666,0.697,"MI","FullTime",0.6343
0.474,0.469,0.541,"MI","FullTime",0.6765
0.601,0.672,0.697,"MI","FullTime",0.7444
0.578,0.639,0.695,"MI","FullTime",0.8107
0.587,0.696,0.77,"MI","FullTime",0.7814
0.698,0.767,0.787,"MN","FullTime",0.7691
0.671,0.709,0.732,"MN","FullTime",0.6868
0.743,0.776,0.761,"MN","FullTime",0.8528
0.744,0.777,0.822,"MN","FullTime",0.844
0.715,0.765,0.793,"MN","FullTime",0.7483
0.543,0.67,0.706,"MN","FullTime",0.5714
0.755,0.775,0.794,"MN","FullTime",0.725
0.752,0.804,0.831,"MN","FullTime",0.9317
0.703,0.725,0.792,"MN","FullTime",0.7065
0.738,0.798,0.828,"MN","FullTime",0.7705
0.638,0.684,0.758,"MN","FullTime",0.8027
0.666,0.728,0.756,"MN","FullTime",0.7442
0.634,0.663,0.68,"MN","FullTime",0.828
0.698,0.763,0.8,"MN","FullTime",0.6684
0.538,0.575,0.642,"MN","FullTime",0.6623
0.793,0.807,0.826,"MN","FullTime",0.8036
0.823,0.851,0.849,"MN","FullTime",0.8843
0.745,0.775,0.78,"MN","FullTime",0.8073
0.654,0.662,0.713,"MN","FullTime",0.5967
0.735,0.777,0.805,"MN","FullTime",0.7831
0.38,0.486,0.556,"MS","FullTime",0.7486
0.589,0.645,0.684,"MS","FullTime",0.6267
0.515,0.624,0.539,"MS","FullTime",0.633
0.528,0.562,0.621,"MS","FullTime",0.7143
0.427,0.501,0.538,"MS","FullTime",0.612
0.655,0.715,0.751,"MS","FullTime",0.8518
0.305,0.376,0.395,"MS","FullTime",0.6128
0.596,0.698,0.715,"MS","FullTime",0.7719
0.622,0.689,0.745,"MS","FullTime",0.7926
0.552,0.633,0.676,"MS","FullTime",0.7083
0.576,0.585,0.642,"MS","FullTime",0.8492
0.333,0.468,0.527,"MO","FullTime",0.6184
0.699,0.702,0.713,"MO","FullTime",0
0.467,0.58,0.649,"MO","FullTime",0.7391
0.385,0.435,0.516,"MO","FullTime",0.5769
0.59,0.679,0.712,"MO","FullTime",0.6756
0.611,0.682,0.71,"MO","FullTime",0.7161
0.604,0.668,0.685,"MO","FullTime",0.6863
0.487,0.553,0.596,"MO","FullTime",0.8847
0.536,0.615,0.645,"MO","FullTime",0.4966
0.352,0.387,0.477,"MO","FullTime",0.5546
0.428,0.504,0.572,"MO","FullTime",0.5333
0.645,0.718,0.735,"MO","FullTime",0.7341
0.552,0.644,0.681,"MO","FullTime",0.5899
0.533,0.58,0.616,"MO","FullTime",0.6457
0.504,0.578,0.64,"MO","FullTime",0.4487
0.518,0.588,0.631,"MO","FullTime",0.6558
0.728,0.781,0.81,"MO","FullTime",0.8703
0.698,0.733,0.767,"MO","FullTime",0.7473
0.805,0.842,0.843,"MO","FullTime",0.8128
0.661,0.727,0.764,"MO","FullTime",0.7482
0.659,0.765,0.794,"MO","FullTime",0.864
0.629,0.675,0.761,"MO","FullTime",0.7324
0.398,0.546,0.574,"MO","FullTime",0.713
0.458,0.568,0.606,"MO","FullTime",0.7422
0.697,0.758,0.774,"MO","FullTime",0.4366
0.75,0.828,0.796,"MO","FullTime",0.8607
0.776,0.828,0.845,"MO","FullTime",0.9023
0.522,0.624,0.633,"MO","FullTime",0.6398
0.552,0.612,0.695,"MO","FullTime",0.7519
0.611,0.688,0.732,"MO","FullTime",0.7726
0.821,0.859,0.897,"MO","FullTime",0.9671
